PheCode,Phenotype,Category,OMICSPRED ID,Internal R2,Platform,Description,Hazard Ratio,FDR adjusted P-value
580.2,Nephrotic syndrome without mention of glomerulonephritis,genitourinary,OPGS009865,0.072,RNAseq,TRAV17,0.84 (0.78 0.89),3.05E-04
580.2,Nephrotic syndrome without mention of glomerulonephritis,genitourinary,OPGS014496,0.019,RNAseq,VARS1,1.18 (1.10 1.26),7.93E-04
580.2,Nephrotic syndrome without mention of glomerulonephritis,genitourinary,OPGS003680,0.611,RNAseq,,1.17 (1.10 1.25),1.55E-03
580.2,Nephrotic syndrome without mention of glomerulonephritis,genitourinary,OPGS005389,0.248,RNAseq,TRAV23DV6,0.86 (0.81 0.92),1.70E-03
580.2,Nephrotic syndrome without mention of glomerulonephritis,genitourinary,OPGS008786,0.094,RNAseq,GABBR1,1.19 (1.10 1.28),3.98E-03
580.2,Nephrotic syndrome without mention of glomerulonephritis,genitourinary,OPGS005029,0.283,RNAseq,DHRS9,0.85 (0.79 0.91),3.98E-03
580.2,Nephrotic syndrome without mention of glomerulonephritis,genitourinary,OPGS007407,0.135,RNAseq,TRBV2,1.16 (1.09 1.25),7.40E-03
580.2,Nephrotic syndrome without mention of glomerulonephritis,genitourinary,OPGS010624,0.059,RNAseq,TRBV18,1.17 (1.09 1.25),1.03E-02
580.2,Nephrotic syndrome without mention of glomerulonephritis,genitourinary,OPGS006845,0.158,RNAseq,FLOT1,1.16 (1.08 1.24),1.28E-02
580.2,Nephrotic syndrome without mention of glomerulonephritis,genitourinary,OPGS015052,0.015,RNAseq,CISH,1.16 (1.08 1.25),1.92E-02
580.2,Nephrotic syndrome without mention of glomerulonephritis,genitourinary,OPGS006166,0.193,RNAseq,CCM2,1.14 (1.07 1.22),2.44E-02
580.2,Nephrotic syndrome without mention of glomerulonephritis,genitourinary,OPGS010607,0.059,RNAseq,TRAV8-1,1.15 (1.07 1.23),3.31E-02
580.2,Nephrotic syndrome without mention of glomerulonephritis,genitourinary,OPGS013326,0.028,RNAseq,H2AZ2,0.88 (0.83 0.94),3.52E-02
580.2,Nephrotic syndrome without mention of glomerulonephritis,genitourinary,OPGS003620,0.668,RNAseq,ZFP57,1.14 (1.07 1.22),3.79E-02
580.2,Nephrotic syndrome without mention of glomerulonephritis,genitourinary,OPGS006716,0.164,RNAseq,IER3,1.15 (1.07 1.23),3.81E-02
585.1,Acute renal failure,genitourinary,OPGS001157,0.041,SomaScan,Transmembrane protein 106A,0.96 (0.95 0.98),3.14E-02
585.1,Acute renal failure,genitourinary,OPGS009794,0.073,RNAseq,RN7SL473P,0.96 (0.95 0.98),3.14E-02
585.3,Chronic renal failure [CKD],genitourinary,OPGS000569,0.103,SomaScan,cAMP-specific 3'.5'-cyclic phosphodiesterase 4D,0.95 (0.93 0.97),4.60E-02
585.3,Chronic renal failure [CKD],genitourinary,OPGS000783,0.075,SomaScan,Interleukin-36 alpha,0.95 (0.93 0.97),4.60E-02
585.3,Chronic renal failure [CKD],genitourinary,OPGS000920,0.061,SomaScan,T-cell surface protein tactile,0.95 (0.93 0.97),4.60E-02
585.3,Chronic renal failure [CKD],genitourinary,OPGS006216,0.191,RNAseq,RRAGD,1.06 (1.03 1.09),3.89E-02
585.3,Chronic renal failure [CKD],genitourinary,OPGS003680,0.611,RNAseq,,1.06 (1.03 1.08),4.60E-02
585.3,Chronic renal failure [CKD],genitourinary,OPGS010607,0.059,RNAseq,TRAV8-1,1.05 (1.03 1.08),4.60E-02
585.3,Chronic renal failure [CKD],genitourinary,OPGS006996,0.152,RNAseq,FBRSL1,0.95 (0.93 0.97),4.94E-02
592.12,Chronic cystitis,genitourinary,OPGS013250,0.029,RNAseq,AC004982.2,0.89 (0.85 0.94),3.65E-02
593,Hematuria,genitourinary,OPGS000147,0.288,SomaScan,Ferritin. mitochondrial,1.08 (1.06 1.09),1.01E-21
593,Hematuria,genitourinary,OPGS001102,0.046,SomaScan,Granzyme A,1.08 (1.06 1.09),3.91E-21
593,Hematuria,genitourinary,OPGS001302,0.033,SomaScan,Immunoglobulin D,1.07 (1.05 1.08),2.12E-17
593,Hematuria,genitourinary,OPGS000569,0.103,SomaScan,cAMP-specific 3'.5'-cyclic phosphodiesterase 4D,1.07 (1.05 1.08),6.74E-17
593,Hematuria,genitourinary,OPGS000878,0.065,SomaScan,Beta-2-microglobulin,0.94 (0.93 0.95),5.97E-16
593,Hematuria,genitourinary,OPGS000572,0.102,SomaScan,Glutamate receptor 4,1.06 (1.05 1.08),1.48E-14
593,Hematuria,genitourinary,OPGS000920,0.061,SomaScan,T-cell surface protein tactile,1.06 (1.05 1.08),9.41E-14
593,Hematuria,genitourinary,OPGS001416,0.029,SomaScan,Vesicle-fusing ATPase,1.06 (1.05 1.08),9.83E-14
593,Hematuria,genitourinary,OPGS000645,0.091,SomaScan,Trypsin-3,0.95 (0.94 0.96),4.14E-11
593,Hematuria,genitourinary,OPGS000690,0.086,SomaScan,Rac GTPase-activating protein 1,0.95 (0.94 0.96),2.01E-10
593,Hematuria,genitourinary,OPGS000783,0.075,SomaScan,Interleukin-36 alpha,1.05 (1.04 1.07),7.14E-10
593,Hematuria,genitourinary,OPGS001454,0.027,SomaScan,Tuberoinfundibular peptide of 39 residues,1.05 (1.04 1.07),1.98E-09
593,Hematuria,genitourinary,OPGS000240,0.198,SomaScan,MHC class I polypeptide-related sequence B,1.05 (1.03 1.06),1.21E-08
593,Hematuria,genitourinary,OPGS000082,0.401,SomaScan,MHC class I polypeptide-related sequence A,0.95 (0.94 0.97),1.73E-08
593,Hematuria,genitourinary,OPGS001860,0.016,SomaScan,Immunoglobulin E,0.95 (0.94 0.97),2.56E-08
593,Hematuria,genitourinary,OPGS000402,0.138,SomaScan,HLA class II histocompatibility antigen. DQ alpha 2 chain,1.05 (1.03 1.06),3.19E-08
593,Hematuria,genitourinary,OPGS000905,0.063,SomaScan,Torsin-1A-interacting protein 1,0.96 (0.94 0.97),5.66E-08
593,Hematuria,genitourinary,OPGS000879,0.065,SomaScan,Natural cytotoxicity triggering receptor 3,0.96 (0.95 0.97),1.52E-07
593,Hematuria,genitourinary,OPGS002246,0.010,SomaScan,Sperm-associated antigen 11B,0.96 (0.95 0.97),1.57E-06
593,Hematuria,genitourinary,OPGS000290,0.171,SomaScan,Complement C4,1.04 (1.03 1.05),4.61E-06
593,Hematuria,genitourinary,OPGS001701,0.019,SomaScan,UDP-N-acetylhexosamine pyrophosphorylase,0.96 (0.95 0.98),2.95E-05
593,Hematuria,genitourinary,OPGS001693,0.020,SomaScan,Cyclic AMP-dependent transcription factor ATF-6 alpha,0.96 (0.95 0.98),4.12E-05
593,Hematuria,genitourinary,OPGS000255,0.191,SomaScan,Ferritin,0.96 (0.95 0.98),4.43E-05
593,Hematuria,genitourinary,OPGS001598,0.022,SomaScan,SPARC,0.96 (0.95 0.98),5.17E-05
593,Hematuria,genitourinary,OPGS001037,0.051,SomaScan,Polypeptide N-acetylgalactosaminyltransferase 1,0.96 (0.95 0.98),5.36E-05
593,Hematuria,genitourinary,OPGS000175,0.256,SomaScan,Killer cell immunoglobulin-like receptor 2DS2,0.97 (0.95 0.98),1.09E-04
593,Hematuria,genitourinary,OPGS000061,0.457,SomaScan,Haptoglobin,0.97 (0.95 0.98),1.63E-04
593,Hematuria,genitourinary,OPGS000040,0.535,SomaScan,Haptoglobin,0.97 (0.95 0.98),1.89E-04
593,Hematuria,genitourinary,OPGS001773,0.018,SomaScan,17-beta-hydroxysteroid dehydrogenase 14,1.04 (1.02 1.05),2.03E-04
593,Hematuria,genitourinary,OPGS000706,0.084,SomaScan,Low affinity immunoglobulin gamma Fc region receptor III-B,1.03 (1.02 1.05),3.82E-04
593,Hematuria,genitourinary,OPGS000618,0.096,SomaScan,MHC class I polypeptide-related sequence B,1.03 (1.02 1.05),6.15E-04
593,Hematuria,genitourinary,OPGS001286,0.034,SomaScan,Granzyme K,1.03 (1.02 1.05),1.35E-03
593,Hematuria,genitourinary,OPGS000691,0.086,SomaScan,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3,0.97 (0.96 0.98),1.71E-03
593,Hematuria,genitourinary,OPGS000642,0.092,SomaScan,Heparin cofactor 2,0.97 (0.96 0.98),2.35E-03
593,Hematuria,genitourinary,OPGS001067,0.048,SomaScan,Ubiquitin-like protein ISG15,0.97 (0.96 0.98),2.53E-03
593,Hematuria,genitourinary,OPGS000137,0.312,SomaScan,Complement C4b,0.97 (0.96 0.98),2.83E-03
593,Hematuria,genitourinary,OPGS000984,0.055,SomaScan,Complement C2,0.97 (0.96 0.99),4.62E-03
593,Hematuria,genitourinary,OPGS002173,0.011,SomaScan,Interleukin-2 receptor subunit beta,0.97 (0.96 0.99),6.41E-03
593,Hematuria,genitourinary,OPGS001146,0.042,SomaScan,Spermatogenesis-associated protein 20,1.03 (1.01 1.04),1.91E-02
593,Hematuria,genitourinary,OPGS000798,0.073,SomaScan,N-acetylated-alpha-linked acidic dipeptidase 2,0.97 (0.96 0.99),2.21E-02
593,Hematuria,genitourinary,OPGS002568,0.043,Olink,Granzyme A,1.08 (1.06 1.09),3.02E-21
593,Hematuria,genitourinary,OPGS002581,0.038,Olink,Fractalkine,0.95 (0.94 0.96),2.19E-10
593,Hematuria,genitourinary,OPGS002422,0.223,Olink,Lymphotoxin-alpha,0.95 (0.94 0.97),2.03E-09
593,Hematuria,genitourinary,OPGS002632,0.022,Olink,Advanced glycosylation end product-specific receptor,1.05 (1.04 1.06),2.53E-09
593,Hematuria,genitourinary,OPGS002619,0.025,Olink,Transforming growth factor beta-1 proprotein,0.95 (0.94 0.97),7.92E-09
593,Hematuria,genitourinary,OPGS002658,0.013,Olink,C-C motif chemokine 22,1.04 (1.02 1.05),2.90E-05
593,Hematuria,genitourinary,OPGS002433,0.194,Olink,Interleukin-12 subunit alpha;beta,0.97 (0.96 0.99),2.10E-02
593,Hematuria,genitourinary,OPGS002420,0.225,Olink,Interleukin-12 subunit beta,0.98 (0.96 0.99),4.85E-02
593,Hematuria,genitourinary,OPGS003031,0.026,Metabolon,X - 21312,0.97 (0.96 0.99),1.47E-02
593,Hematuria,genitourinary,OPGS002913,0.049,Metabolon,X - 21285,0.97 (0.96 0.99),1.78E-02
593,Hematuria,genitourinary,OPGS002866,0.064,Metabolon,N-acetyltryptophan,1.03 (1.01 1.04),3.88E-02
593,Hematuria,genitourinary,OPGS002957,0.040,Metabolon,cys-gly. oxidized,1.03 (1.01 1.04),4.35E-02
593,Hematuria,genitourinary,OPGS002816,0.086,Metabolon,X - 11470,0.98 (0.96 0.99),4.73E-02
593,Hematuria,genitourinary,OPGS002932,0.045,Metabolon,4-androsten-3beta.17beta-diol monosulfate (2),0.98 (0.96 0.99),4.73E-02
593,Hematuria,genitourinary,OPGS012006,0.041,RNAseq,VARS2,1.08 (1.06 1.09),1.01E-21
593,Hematuria,genitourinary,OPGS014232,0.021,RNAseq,TRAV1-2,1.07 (1.06 1.09),1.73E-20
593,Hematuria,genitourinary,OPGS010693,0.058,RNAseq,TRBV5-1,0.93 (0.92 0.95),7.21E-19
593,Hematuria,genitourinary,OPGS015052,0.015,RNAseq,CISH,0.93 (0.92 0.95),2.52E-18
593,Hematuria,genitourinary,OPGS004334,0.383,RNAseq,HLA-G,1.07 (1.05 1.08),5.92E-18
593,Hematuria,genitourinary,OPGS010826,0.056,RNAseq,TRIM10,1.07 (1.06 1.09),7.33E-18
593,Hematuria,genitourinary,OPGS013225,0.029,RNAseq,REG4,1.07 (1.05 1.08),1.29E-17
593,Hematuria,genitourinary,OPGS014580,0.018,RNAseq,DACT1,0.94 (0.93 0.95),1.76E-16
593,Hematuria,genitourinary,OPGS004489,0.357,RNAseq,,1.06 (1.05 1.08),2.53E-16
593,Hematuria,genitourinary,OPGS006048,0.200,RNAseq,,1.06 (1.05 1.08),7.23E-16
593,Hematuria,genitourinary,OPGS006866,0.157,RNAseq,AL662795.2,0.94 (0.93 0.95),2.82E-15
593,Hematuria,genitourinary,OPGS009371,0.082,RNAseq,TRBV19,1.06 (1.05 1.08),3.92E-15
593,Hematuria,genitourinary,OPGS013514,0.026,RNAseq,GZMK,1.06 (1.05 1.08),6.32E-14
593,Hematuria,genitourinary,OPGS014443,0.019,RNAseq,ABCB1,1.06 (1.04 1.07),1.64E-13
593,Hematuria,genitourinary,OPGS011283,0.050,RNAseq,CD248,1.06 (1.04 1.07),2.02E-13
593,Hematuria,genitourinary,OPGS008889,0.092,RNAseq,TRAV20,1.06 (1.04 1.07),1.13E-12
593,Hematuria,genitourinary,OPGS010607,0.059,RNAseq,TRAV8-1,0.94 (0.93 0.96),1.22E-12
593,Hematuria,genitourinary,OPGS013045,0.030,RNAseq,NEU1,1.06 (1.04 1.07),2.18E-12
593,Hematuria,genitourinary,OPGS003621,0.665,RNAseq,,1.06 (1.04 1.07),2.40E-12
593,Hematuria,genitourinary,OPGS003680,0.611,RNAseq,,0.95 (0.93 0.96),4.73E-12
593,Hematuria,genitourinary,OPGS014496,0.019,RNAseq,VARS1,0.95 (0.93 0.96),4.87E-12
593,Hematuria,genitourinary,OPGS013298,0.028,RNAseq,IL7R,1.05 (1.04 1.07),1.06E-11
593,Hematuria,genitourinary,OPGS011784,0.044,RNAseq,TUBB,0.95 (0.94 0.96),2.35E-11
593,Hematuria,genitourinary,OPGS013780,0.024,RNAseq,ZSCAN16,0.95 (0.93 0.96),4.14E-11
593,Hematuria,genitourinary,OPGS014283,0.021,RNAseq,MXRA8,1.05 (1.04 1.07),8.74E-11
593,Hematuria,genitourinary,OPGS013699,0.025,RNAseq,TRAV5,1.05 (1.04 1.07),1.95E-10
593,Hematuria,genitourinary,OPGS012358,0.037,RNAseq,SFRP5,1.05 (1.04 1.06),2.28E-09
593,Hematuria,genitourinary,OPGS006845,0.158,RNAseq,FLOT1,0.95 (0.94 0.97),5.07E-09
593,Hematuria,genitourinary,OPGS003843,0.532,RNAseq,BTN3A2,1.05 (1.04 1.07),5.20E-09
593,Hematuria,genitourinary,OPGS009222,0.085,RNAseq,,1.05 (1.03 1.06),5.34E-09
593,Hematuria,genitourinary,OPGS004406,0.369,RNAseq,,1.05 (1.03 1.06),6.46E-09
593,Hematuria,genitourinary,OPGS013068,0.030,RNAseq,AL021807.1,0.95 (0.94 0.97),7.92E-09
593,Hematuria,genitourinary,OPGS013958,0.023,RNAseq,CSNK2B,0.95 (0.94 0.97),8.17E-09
593,Hematuria,genitourinary,OPGS012636,0.034,RNAseq,KIR2DL3,0.95 (0.94 0.97),8.17E-09
593,Hematuria,genitourinary,OPGS009711,0.075,RNAseq,TRAV21,0.95 (0.94 0.97),9.88E-09
593,Hematuria,genitourinary,OPGS012093,0.040,RNAseq,TRIM26,0.95 (0.94 0.97),1.04E-08
593,Hematuria,genitourinary,OPGS009865,0.072,RNAseq,TRAV17,1.05 (1.03 1.06),1.09E-08
593,Hematuria,genitourinary,OPGS008402,0.104,RNAseq,TNXB,1.05 (1.03 1.06),1.27E-08
593,Hematuria,genitourinary,OPGS005918,0.208,RNAseq,DDR1,1.05 (1.03 1.06),3.69E-08
593,Hematuria,genitourinary,OPGS007297,0.140,RNAseq,GPANK1,1.04 (1.03 1.06),7.85E-08
593,Hematuria,genitourinary,OPGS006716,0.164,RNAseq,IER3,0.96 (0.94 0.97),9.11E-08
593,Hematuria,genitourinary,OPGS003620,0.668,RNAseq,ZFP57,0.96 (0.94 0.97),2.84E-07
593,Hematuria,genitourinary,OPGS007089,0.148,RNAseq,HLA-A,1.04 (1.03 1.06),3.42E-07
593,Hematuria,genitourinary,OPGS010929,0.055,RNAseq,EOMES,1.04 (1.03 1.06),3.84E-07
593,Hematuria,genitourinary,OPGS007394,0.136,RNAseq,AL662844.4,0.96 (0.95 0.97),1.34E-06
593,Hematuria,genitourinary,OPGS005230,0.263,RNAseq,LINC00243,0.96 (0.95 0.97),1.40E-06
593,Hematuria,genitourinary,OPGS013243,0.029,RNAseq,TRAV3,1.04 (1.03 1.06),1.71E-06
593,Hematuria,genitourinary,OPGS010142,0.067,RNAseq,PRSS16,0.96 (0.95 0.97),2.94E-06
593,Hematuria,genitourinary,OPGS006248,0.189,RNAseq,MCCD1,1.04 (1.03 1.06),4.61E-06
593,Hematuria,genitourinary,OPGS009241,0.084,RNAseq,ZKSCAN4,0.96 (0.95 0.97),4.85E-06
593,Hematuria,genitourinary,OPGS012587,0.035,RNAseq,COL5A1,1.04 (1.03 1.06),5.12E-06
593,Hematuria,genitourinary,OPGS005245,0.261,RNAseq,ZNF391,0.96 (0.95 0.98),5.92E-06
593,Hematuria,genitourinary,OPGS005167,0.269,RNAseq,TCF19,1.04 (1.02 1.05),1.01E-05
593,Hematuria,genitourinary,OPGS006499,0.176,RNAseq,C4A,1.04 (1.02 1.05),5.50E-05
593,Hematuria,genitourinary,OPGS006807,0.160,RNAseq,BNC2,0.97 (0.95 0.98),8.07E-05
593,Hematuria,genitourinary,OPGS013013,0.031,RNAseq,FOXJ1,1.04 (1.02 1.05),9.26E-05
593,Hematuria,genitourinary,OPGS006940,0.154,RNAseq,,1.04 (1.02 1.05),1.09E-04
593,Hematuria,genitourinary,OPGS009198,0.085,RNAseq,TRAV12-1,0.97 (0.95 0.98),1.17E-04
593,Hematuria,genitourinary,OPGS004065,0.446,RNAseq,,1.03 (1.02 1.05),1.51E-04
593,Hematuria,genitourinary,OPGS009626,0.076,RNAseq,APBA2,1.03 (1.02 1.05),1.66E-04
593,Hematuria,genitourinary,OPGS004144,0.424,RNAseq,PSORS1C3,1.03 (1.02 1.05),3.53E-04
593,Hematuria,genitourinary,OPGS010564,0.060,RNAseq,CEACAM6,1.03 (1.02 1.05),3.56E-04
593,Hematuria,genitourinary,OPGS015030,0.016,RNAseq,PRRC2A,1.03 (1.02 1.05),4.16E-04
593,Hematuria,genitourinary,OPGS007604,0.128,RNAseq,U91328.1,0.97 (0.95 0.98),5.27E-04
593,Hematuria,genitourinary,OPGS011005,0.054,RNAseq,SLC1A5,0.97 (0.95 0.98),7.44E-04
593,Hematuria,genitourinary,OPGS006634,0.169,RNAseq,,1.03 (1.02 1.05),1.05E-03
593,Hematuria,genitourinary,OPGS007675,0.126,RNAseq,TRAV12-2,0.97 (0.96 0.98),1.05E-03
593,Hematuria,genitourinary,OPGS009920,0.071,RNAseq,LINC02446,1.03 (1.02 1.05),1.05E-03
593,Hematuria,genitourinary,OPGS010277,0.065,RNAseq,CXCR6,1.03 (1.02 1.05),1.10E-03
593,Hematuria,genitourinary,OPGS014680,0.018,RNAseq,GALE,1.03 (1.02 1.05),1.13E-03
593,Hematuria,genitourinary,OPGS009841,0.072,RNAseq,PDGFRB,0.97 (0.96 0.98),1.43E-03
593,Hematuria,genitourinary,OPGS007809,0.122,RNAseq,,1.03 (1.02 1.05),1.48E-03
593,Hematuria,genitourinary,OPGS004727,0.320,RNAseq,CD226,0.97 (0.96 0.98),1.59E-03
593,Hematuria,genitourinary,OPGS010926,0.055,RNAseq,CACNA2D4,1.03 (1.02 1.05),1.63E-03
593,Hematuria,genitourinary,OPGS010475,0.061,RNAseq,ZNRD1,1.03 (1.02 1.05),1.84E-03
593,Hematuria,genitourinary,OPGS013201,0.029,RNAseq,NRCAM,1.03 (1.02 1.04),2.56E-03
593,Hematuria,genitourinary,OPGS007384,0.137,RNAseq,HLA-B,0.97 (0.96 0.98),2.65E-03
593,Hematuria,genitourinary,OPGS011372,0.049,RNAseq,TIFAB,1.03 (1.02 1.04),3.02E-03
593,Hematuria,genitourinary,OPGS008268,0.107,RNAseq,CD4,0.97 (0.96 0.98),3.22E-03
593,Hematuria,genitourinary,OPGS013383,0.027,RNAseq,PPP1R11,1.03 (1.02 1.04),3.44E-03
593,Hematuria,genitourinary,OPGS012363,0.037,RNAseq,AC004593.2,0.97 (0.96 0.98),3.88E-03
593,Hematuria,genitourinary,OPGS007248,0.141,RNAseq,,1.03 (1.02 1.04),4.29E-03
593,Hematuria,genitourinary,OPGS011379,0.048,RNAseq,AHNAK,1.03 (1.02 1.04),4.65E-03
593,Hematuria,genitourinary,OPGS012707,0.033,RNAseq,CCDC97,1.03 (1.02 1.04),5.37E-03
593,Hematuria,genitourinary,OPGS012171,0.039,RNAseq,TRBV15,0.97 (0.96 0.99),5.40E-03
593,Hematuria,genitourinary,OPGS007282,0.140,RNAseq,CERCAM,0.97 (0.96 0.99),5.67E-03
593,Hematuria,genitourinary,OPGS012510,0.036,RNAseq,KLRF1,0.97 (0.96 0.99),6.30E-03
593,Hematuria,genitourinary,OPGS012562,0.035,RNAseq,H2BC17,0.97 (0.96 0.99),6.76E-03
593,Hematuria,genitourinary,OPGS006395,0.181,RNAseq,CDC42BPB,1.03 (1.01 1.04),7.82E-03
593,Hematuria,genitourinary,OPGS008534,0.101,RNAseq,HLA-DRA,1.03 (1.01 1.04),8.28E-03
593,Hematuria,genitourinary,OPGS004499,0.354,RNAseq,EML3,1.03 (1.01 1.04),9.63E-03
593,Hematuria,genitourinary,OPGS011787,0.044,RNAseq,C2,0.97 (0.96 0.99),9.65E-03
593,Hematuria,genitourinary,OPGS008253,0.108,RNAseq,SPON2,0.97 (0.96 0.99),1.05E-02
593,Hematuria,genitourinary,OPGS011671,0.045,RNAseq,MICA,1.03 (1.01 1.04),1.47E-02
593,Hematuria,genitourinary,OPGS009462,0.080,RNAseq,MRVI1,1.03 (1.01 1.04),1.55E-02
593,Hematuria,genitourinary,OPGS011073,0.053,RNAseq,TRBV7-3,0.97 (0.96 0.99),1.58E-02
593,Hematuria,genitourinary,OPGS010418,0.062,RNAseq,,0.97 (0.96 0.99),1.58E-02
593,Hematuria,genitourinary,OPGS007407,0.135,RNAseq,TRBV2,0.97 (0.96 0.99),1.75E-02
593,Hematuria,genitourinary,OPGS005334,0.253,RNAseq,AL645933.4,1.03 (1.01 1.04),1.82E-02
593,Hematuria,genitourinary,OPGS009112,0.087,RNAseq,SMG9,1.03 (1.01 1.04),1.91E-02
593,Hematuria,genitourinary,OPGS013472,0.027,RNAseq,STAT1,0.97 (0.96 0.99),2.05E-02
593,Hematuria,genitourinary,OPGS011425,0.048,RNAseq,DNMT3A,1.03 (1.01 1.04),2.07E-02
593,Hematuria,genitourinary,OPGS010041,0.069,RNAseq,GPRC5B,0.97 (0.96 0.99),2.08E-02
593,Hematuria,genitourinary,OPGS011316,0.049,RNAseq,MYOSLID,1.03 (1.01 1.04),2.09E-02
593,Hematuria,genitourinary,OPGS009077,0.088,RNAseq,DDAH2,0.97 (0.96 0.99),2.14E-02
593,Hematuria,genitourinary,OPGS004134,0.427,RNAseq,H2BC5,1.03 (1.01 1.04),2.17E-02
593,Hematuria,genitourinary,OPGS004939,0.294,RNAseq,,0.97 (0.96 0.99),2.21E-02
593,Hematuria,genitourinary,OPGS008786,0.094,RNAseq,GABBR1,0.97 (0.96 0.99),2.39E-02
593,Hematuria,genitourinary,OPGS012761,0.033,RNAseq,TRAV12-3,1.03 (1.01 1.04),2.42E-02
593,Hematuria,genitourinary,OPGS013931,0.023,RNAseq,FAM210A,0.97 (0.96 0.99),2.47E-02
593,Hematuria,genitourinary,OPGS011585,0.046,RNAseq,CD8B,1.03 (1.01 1.04),2.57E-02
593,Hematuria,genitourinary,OPGS011265,0.050,RNAseq,HSPA5,1.03 (1.01 1.04),2.72E-02
593,Hematuria,genitourinary,OPGS011262,0.050,RNAseq,GNAL,0.97 (0.96 0.99),2.97E-02
593,Hematuria,genitourinary,OPGS009231,0.085,RNAseq,DAB2,0.98 (0.96 0.99),3.05E-02
593,Hematuria,genitourinary,OPGS013155,0.029,RNAseq,MDS2,0.98 (0.96 0.99),3.63E-02
593,Hematuria,genitourinary,OPGS011288,0.050,RNAseq,AC104809.2,0.98 (0.96 0.99),3.72E-02
593,Hematuria,genitourinary,OPGS007330,0.138,RNAseq,YWHAH,1.02 (1.01 1.04),4.24E-02
593,Hematuria,genitourinary,OPGS014366,0.020,RNAseq,FSD1,0.98 (0.96 0.99),4.47E-02
593,Hematuria,genitourinary,OPGS008274,0.107,RNAseq,NCR3,0.98 (0.96 0.99),4.55E-02
593,Hematuria,genitourinary,OPGS014234,0.021,RNAseq,GFOD1,0.98 (0.96 0.99),4.58E-02
594.1,Calculus of kidney,genitourinary,OPGS000618,0.096,SomaScan,MHC class I polypeptide-related sequence B,1.08 (1.05 1.11),2.94E-04
594.1,Calculus of kidney,genitourinary,OPGS000240,0.198,SomaScan,MHC class I polypeptide-related sequence B,1.08 (1.05 1.12),2.94E-04
594.1,Calculus of kidney,genitourinary,OPGS000147,0.288,SomaScan,Ferritin. mitochondrial,1.07 (1.04 1.10),4.27E-02
594.1,Calculus of kidney,genitourinary,OPGS000572,0.102,SomaScan,Glutamate receptor 4,1.06 (1.03 1.10),4.43E-02
594.1,Calculus of kidney,genitourinary,OPGS002840,0.074,Metabolon,X - 18914,1.06 (1.03 1.09),4.38E-02
594.1,Calculus of kidney,genitourinary,OPGS003188,0.012,Metabolon,2-palmitoleoyl-GPC (16:1)*,1.06 (1.03 1.10),4.43E-02
594.1,Calculus of kidney,genitourinary,OPGS007373,0.137,RNAseq,HIBADH,0.92 (0.89 0.95),2.94E-04
594.1,Calculus of kidney,genitourinary,OPGS011382,0.048,RNAseq,LMAN2,1.07 (1.04 1.10),7.19E-03
594.1,Calculus of kidney,genitourinary,OPGS005504,0.238,RNAseq,MRTO4,1.07 (1.04 1.11),1.08E-02
594.1,Calculus of kidney,genitourinary,OPGS007675,0.126,RNAseq,TRAV12-2,0.94 (0.91 0.96),1.99E-02
594.1,Calculus of kidney,genitourinary,OPGS004406,0.369,RNAseq,,1.07 (1.04 1.10),1.99E-02
594.1,Calculus of kidney,genitourinary,OPGS006340,0.184,RNAseq,SIK2,0.94 (0.91 0.97),4.43E-02
594.1,Calculus of kidney,genitourinary,OPGS011287,0.050,RNAseq,,1.06 (1.03 1.09),4.43E-02
596,Other disorders of bladder,genitourinary,OPGS003834,0.535,RNAseq,AC026748.3,1.05 (1.03 1.07),9.01E-03
596.1,Bladder neck obstruction,genitourinary,OPGS003834,0.535,RNAseq,AC026748.3,1.10 (1.06 1.14),3.41E-02
596.1,Bladder neck obstruction,genitourinary,OPGS012654,0.034,RNAseq,CLPTM1L,0.91 (0.87 0.95),3.41E-02
600,Hyperplasia of prostate,genitourinary,OPGS000878,0.065,SomaScan,Beta-2-microglobulin,0.95 (0.94 0.97),3.90E-08
600,Hyperplasia of prostate,genitourinary,OPGS000082,0.401,SomaScan,MHC class I polypeptide-related sequence A,0.97 (0.95 0.98),1.57E-03
600,Hyperplasia of prostate,genitourinary,OPGS001701,0.019,SomaScan,UDP-N-acetylhexosamine pyrophosphorylase,0.97 (0.95 0.98),1.57E-03
600,Hyperplasia of prostate,genitourinary,OPGS001860,0.016,SomaScan,Immunoglobulin E,0.97 (0.95 0.98),3.52E-03
600,Hyperplasia of prostate,genitourinary,OPGS000608,0.097,SomaScan,Interleukin-17 receptor D,0.97 (0.95 0.98),4.24E-03
600,Hyperplasia of prostate,genitourinary,OPGS000147,0.288,SomaScan,Ferritin. mitochondrial,1.03 (1.02 1.05),4.32E-03
600,Hyperplasia of prostate,genitourinary,OPGS000984,0.055,SomaScan,Complement C2,0.97 (0.96 0.98),4.75E-03
600,Hyperplasia of prostate,genitourinary,OPGS001302,0.033,SomaScan,Immunoglobulin D,1.03 (1.02 1.05),1.47E-02
600,Hyperplasia of prostate,genitourinary,OPGS001966,0.013,SomaScan,DnaJ homolog subfamily C member 10,1.03 (1.01 1.04),1.69E-02
600,Hyperplasia of prostate,genitourinary,OPGS000240,0.198,SomaScan,MHC class I polypeptide-related sequence B,1.03 (1.01 1.04),2.53E-02
